,state,comid,agro_processing,milling_facility,feed_mill,corn_husker,cocoa_mill,palm_oil_mill,rice_husker,crop_processing_facility,electricity_available,land_degradation_pct,increase_land_degradation,abandoned_farm_pct,land_issue_soil_erosion,land_issue_poor_roads,land_issue_other,produce_transport_method,extension_services_present,storage_facility_available,challenge_crop_diseases,challenge_animal_damage,sales_difficulties,poor_transport,main_crop_planted
16704,ANAMBRA,COM0021777,Yes,No,No,No,No,No,No,No,Yes,26%-50%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,"YAM, THREE LEAVED"
16705,ANAMBRA,COM0006413,Yes,No,Yes,No,No,Yes,No,Yes,Yes,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,Yes,Yes,Yes,"YAM, WHITE"
16706,ABIA,COM0023837,Yes,No,No,No,No,No,No,Yes,Yes,1%-25%,Staying the same,1%-25%,2.0,0.0,1.0,Foot,No,No,Yes,No,No,Yes,"YAM, THREE LEAVED"
16707,IMO,COM0012771,No,,,,,,,,No,1%-25%,Staying the same,26%-50%,0.0,0.0,0.0,Foot,No,No,No,No,No,Yes,CASSAVA
16708,IMO,COM0024318,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,No,"YAM, WHITE"
16709,EBONYI,COM0014704,Yes,No,No,No,No,Yes,Yes,No,No,26%-50%,Staying the same,1%-25%,0.0,0.0,0.0,Foot,No,No,Yes,Yes,No,Yes,CASSAVA
16710,ANAMBRA,COM0022501,Yes,No,No,No,No,No,No,Yes,Yes,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,No,No,"YAM, THREE LEAVED"
16711,IMO,COM0009960,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,Yes,No,No,CASSAVA
16712,ENUGU,COM0005032,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
16713,EBONYI,COM0016061,No,,,,,,,,No,1%-25%,Staying the same,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
16714,ABIA,COM0002617,Yes,No,No,No,No,Yes,Yes,No,Yes,1%-25%,Staying the same,None (0%),,,,Foot,No,No,Yes,No,Yes,Yes,"YAM, THREE LEAVED"
16715,EBONYI,COM0021120,Yes,Yes,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,RICE
16716,ANAMBRA,COM0019555,Yes,No,No,Yes,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16717,ENUGU,COM0019808,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Car/Van,No,No,No,Yes,No,No,"YAM, WHITE"
16718,ABIA,COM0017837,No,,,,,,,,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,CASSAVA
16719,IMO,COM0024355,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Staying the same,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
16720,EBONYI,COM0008209,Yes,Yes,No,No,No,No,Yes,Yes,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,"YAM, WHITE"
16721,ANAMBRA,COM0024351,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,3.0,0.0,1.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
16722,ANAMBRA,COM0017833,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Increasing,None (0%),,,,Car/Van,No,No,Yes,No,No,No,"YAM, YELLOW"
16723,ANAMBRA,COM0013011,Yes,No,No,No,No,No,No,No,Yes,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
16724,ENUGU,COM0020842,Yes,Yes,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,No,CASSAVA
16725,ABIA,COM0008364,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
16726,ENUGU,COM0024258,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,Yes,No,No,"YAM, WHITE"
16727,ANAMBRA,COM0007505,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,Yes,No,"YAM, WHITE"
16728,EBONYI,COM0022305,Yes,No,No,No,No,Yes,No,No,No,None (0%),,26%-50%,0.0,3.0,0.0,Foot,No,No,Yes,No,Yes,Yes,CASSAVA
16729,ANAMBRA,COM0002979,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,1%-25%,Increasing,1%-25%,0.0,1.0,2.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16730,ANAMBRA,COM0010560,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,Yes,CASSAVA
16731,EBONYI,COM0008249,Yes,Yes,No,No,No,Yes,Yes,No,Yes,26%-50%,Increasing,None (0%),,,,Bicycle,No,No,Yes,Yes,Yes,Yes,RICE
16732,ENUGU,COM0020997,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Other (specify),No,Yes,No,No,No,No,CASSAVA
16733,IMO,COM0012303,No,,,,,,,,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,"YAM, WHITE"
16734,ANAMBRA,COM0004740,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
16735,ANAMBRA,COM0006637,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,
16736,ABIA,COM0017776,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16737,ABIA,COM0017177,Yes,No,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
16738,ANAMBRA,COM0014825,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
16739,ENUGU,COM0002496,Yes,No,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,Yes,CASSAVA
16740,ANAMBRA,COM0000868,Yes,Yes,No,No,No,No,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,"YAM, WHITE"
16741,ABIA,COM0000556,Yes,No,No,No,No,Yes,No,No,Yes,76%-100%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,"YAM, THREE LEAVED"
16742,ANAMBRA,COM0005174,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,None (0%),,,,Foot,No,No,No,No,No,No,"YAM, YELLOW"
16743,EBONYI,COM0011492,Yes,Yes,No,No,No,No,Yes,No,No,26%-50%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, THREE LEAVED"
16744,IMO,COM0020219,Yes,No,No,No,No,No,No,No,Yes,51%-75%,Increasing,None (0%),,,,Other (specify),No,No,No,No,No,No,
16745,ENUGU,COM0022455,Yes,No,No,No,No,No,Yes,No,No,51%-75%,Increasing,26%-50%,0.0,0.0,0.0,Car/Van,No,No,Yes,No,Yes,Yes,CASSAVA
16746,ANAMBRA,COM0018691,Yes,No,No,No,No,No,Yes,Yes,Yes,None (0%),,None (0%),,,,Foot,No,Yes,No,No,No,No,CASSAVA
16747,ENUGU,COM0023208,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
16748,ENUGU,COM0002989,Yes,No,No,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
16749,ANAMBRA,COM0021112,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,CASSAVA
16750,ANAMBRA,COM0000663,Yes,No,No,No,No,Yes,No,Yes,Yes,1%-25%,Staying the same,1%-25%,0.0,0.0,1.0,Car/Van,Yes,Yes,Yes,Yes,No,No,CASSAVA
16751,IMO,COM0005867,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
16752,EBONYI,COM0007280,Yes,Yes,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,1%-25%,3.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,RICE
16753,ABIA,COM0003323,Yes,No,No,No,No,Yes,No,No,Yes,51%-75%,Staying the same,51%-75%,0.0,0.0,0.0,Foot,No,No,Yes,No,No,No,"YAM, WHITE"
16754,IMO,COM0021799,Yes,No,No,No,No,Yes,No,No,No,26%-50%,Staying the same,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
16755,EBONYI,COM0003951,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,Yes,No,No,No,"YAM, WHITE"
16756,ENUGU,COM0005173,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
16757,EBONYI,COM0023096,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,26%-50%,Increasing,None (0%),,,,Foot,No,Yes,Yes,Yes,Yes,No,"YAM, THREE LEAVED"
16758,ABIA,COM0011887,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16759,IMO,COM0001588,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16760,ENUGU,COM0022322,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,CASSAVA
16761,IMO,COM0014814,Yes,No,No,No,No,Yes,No,No,Yes,26%-50%,Staying the same,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
16762,IMO,COM0015136,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,No,"YAM, THREE LEAVED"
16763,IMO,COM0025057,Yes,No,No,No,No,Yes,No,No,Yes,51%-75%,Increasing,26%-50%,0.0,3.0,1.0,Car/Van,No,No,Yes,Yes,No,Yes,"YAM, THREE LEAVED"
16764,EBONYI,COM0005897,No,,,,,,,,Yes,26%-50%,Increasing,None (0%),,,,Foot,No,No,Yes,No,No,Yes,"YAM, WHITE"
16765,ENUGU,COM0001414,No,,,,,,,,No,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, YELLOW"
16766,ABIA,COM0000016,Yes,No,,No,No,Yes,Yes,No,Yes,26%-50%,Decreasing,26%-50%,0.0,0.0,0.0,Foot,No,No,No,No,No,No,"YAM, WHITE"
16767,ANAMBRA,COM0007915,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
16768,ANAMBRA,COM0020857,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
16769,ENUGU,COM0006991,Yes,No,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,1.0,2.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,CASSAVA
16770,IMO,COM0019653,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Bicycle,No,No,Yes,No,No,Yes,"YAM, WHITE"
16771,EBONYI,COM0011187,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
16772,ABIA,COM0011184,Yes,No,No,No,No,No,No,No,Yes,76%-100%,Increasing,76%-100%,0.0,0.0,1.0,Foot,No,No,No,Yes,Yes,No,"YAM, WHITE"
16773,EBONYI,COM0005268,Yes,No,No,No,No,Yes,No,Yes,Yes,1%-25%,Staying the same,1%-25%,0.0,1.0,2.0,Foot,No,No,Yes,Yes,Yes,Yes,CASSAVA
16774,IMO,COM0022741,Yes,Yes,No,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,1%-25%,0.0,2.0,1.0,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16775,ANAMBRA,COM0011680,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16776,EBONYI,COM0019089,Yes,Yes,No,No,No,No,Yes,No,No,51%-75%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,RICE
16777,ANAMBRA,COM0017426,Yes,Yes,No,No,No,No,No,No,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16778,ABIA,COM0020990,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16779,EBONYI,COM0026141,Yes,No,No,No,No,No,No,No,No,None (0%),,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,Yes,Yes,Yes,CASSAVA
16780,EBONYI,COM0020790,Yes,Yes,No,No,No,No,Yes,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,"YAM, WHITE"
16781,IMO,COM0023121,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
16782,IMO,COM0000998,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16783,IMO,COM0009340,Yes,No,No,No,No,No,No,No,Yes,76%-100%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16784,EBONYI,COM0004891,No,,,,,,,,No,26%-50%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, THREE LEAVED"
16785,ENUGU,COM0004608,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Car/Van,No,Yes,Yes,No,No,No,CASSAVA
16786,ABIA,COM0010695,Yes,No,No,No,No,No,No,No,No,76%-100%,Increasing,51%-75%,0.0,2.0,1.0,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, THREE LEAVED"
16787,ANAMBRA,COM0004652,Yes,No,No,No,No,Yes,No,No,Yes,26%-50%,Increasing,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASSAVA
16788,ENUGU,COM0013094,Yes,Yes,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,Yes,No,Yes,No,No,"YAM, THREE LEAVED"
16789,IMO,COM0019108,Yes,No,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16790,ENUGU,COM0004754,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,"YAM, THREE LEAVED"
16791,IMO,COM0023372,Yes,Yes,No,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,None (0%),,,,Foot,No,No,No,No,No,No,"YAM, THREE LEAVED"
16792,ANAMBRA,COM0017016,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16793,IMO,COM0011392,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Staying the same,26%-50%,0.0,3.0,0.0,Foot,No,No,Yes,Yes,No,Yes,CASSAVA
16794,IMO,COM0026014,No,,,,,,,,No,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,Yes,Yes,"YAM, WHITE"
16795,ANAMBRA,COM0005150,No,,,,,,,,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,No,
16796,ENUGU,COM0005132,Yes,Yes,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Foot,No,Yes,No,No,No,No,"YAM, THREE LEAVED"
16797,ENUGU,COM0026219,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Car/Van,No,Yes,No,Yes,No,No,CASSAVA
16798,ANAMBRA,COM0010759,No,,,,,,,,Yes,26%-50%,Increasing,26%-50%,0.0,1.0,2.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
16799,ENUGU,COM0011985,Yes,Yes,No,No,No,No,No,No,Yes,26%-50%,Decreasing,None (0%),,,,Foot,No,No,Yes,No,No,No,
16800,ABIA,COM0020903,Yes,Yes,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,"YAM, WHITE"
16801,EBONYI,COM0022640,Yes,No,No,No,No,No,No,No,No,None (0%),,26%-50%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
16802,IMO,COM0026340,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16803,ABIA,COM0003453,Yes,No,No,No,No,Yes,No,No,Yes,26%-50%,Decreasing,76%-100%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16804,ANAMBRA,COM0025078,No,,,,,,,,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,CASSAVA
16805,ENUGU,COM0012338,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,Yes,Yes,"YAM, WHITE"
16806,ENUGU,COM0018745,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,No,CASSAVA
16807,ABIA,COM0000974,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16808,ANAMBRA,COM0005697,Yes,No,No,Yes,No,Yes,No,No,Yes,26%-50%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16809,ANAMBRA,COM0003591,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Car/Van,No,Yes,Yes,Yes,No,Yes,"YAM, THREE LEAVED"
16810,ENUGU,COM0011756,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,Yes,"YAM, WHITE"
16811,EBONYI,COM0008920,Yes,No,No,No,No,No,No,Yes,Yes,26%-50%,Staying the same,1%-25%,0.0,0.0,0.0,Foot,No,Yes,Yes,Yes,Yes,Yes,"YAM, WHITE"
16812,ABIA,COM0004746,Yes,No,No,No,No,Yes,No,No,No,1%-25%,Staying the same,None (0%),,,,Foot,No,No,Yes,No,No,No,"YAM, WHITE"
16813,EBONYI,COM0014388,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Bicycle,No,No,Yes,No,Yes,Yes,CASSAVA
16814,ENUGU,COM0017991,No,,,,,,,,Yes,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
16815,ANAMBRA,COM0001592,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,,,,,
16816,ANAMBRA,COM0001854,No,,,,,,,,Yes,51%-75%,Increasing,None (0%),,,,Car/Van,No,No,No,No,No,No,"YAM, THREE LEAVED"
16817,IMO,COM0012740,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
16818,IMO,COM0020644,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,"YAM, WHITE"
16819,EBONYI,COM0010621,No,,,,,,,,No,None (0%),,None (0%),,,,Foot,No,No,No,No,Yes,Yes,RICE
16820,ABIA,COM0019190,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16821,IMO,COM0009236,Yes,No,No,No,No,No,No,Yes,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
16822,ENUGU,COM0017867,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,,,,,CASSAVA
16823,ABIA,COM0012724,No,,,,,,,,Yes,51%-75%,Increasing,51%-75%,0.0,2.0,1.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, THREE LEAVED"
16824,EBONYI,COM0000078,Yes,Yes,No,Yes,No,No,No,No,No,1%-25%,Decreasing,1%-25%,3.0,0.0,0.0,Tricycle/Motorcycle,Yes,No,No,Yes,No,No,"YAM, THREE LEAVED"
16825,IMO,COM0023825,No,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,Yes,No,No,No,No,
16826,EBONYI,COM0003602,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
16827,IMO,COM0005156,Yes,No,Yes,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,No,MAIZE
16828,EBONYI,COM0023602,Yes,Yes,No,No,No,Yes,Yes,Yes,No,1%-25%,Staying the same,1%-25%,0.0,0.0,0.0,Foot,No,No,No,No,No,No,"YAM, WHITE"
16829,EBONYI,COM0025017,No,,,,,,,,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,"YAM, WHITE"
16830,IMO,COM0005392,Yes,Yes,No,No,No,Yes,No,Yes,Yes,1%-25%,Increasing,1%-25%,2.0,0.0,3.0,Foot,No,No,No,No,No,No,"YAM, THREE LEAVED"
16831,IMO,COM0005667,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,Yes,No,"YAM, THREE LEAVED"
16832,ANAMBRA,COM0013119,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,CASSAVA
16833,IMO,COM0003297,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16834,ABIA,COM0018351,No,,,,,,,,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,CASSAVA
16835,EBONYI,COM0017198,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,CASSAVA
16836,ANAMBRA,COM0010407,Yes,Yes,No,No,No,Yes,No,Yes,Yes,1%-25%,Staying the same,1%-25%,3.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,CASSAVA
16837,ENUGU,COM0008060,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,CASSAVA
16838,EBONYI,COM0005852,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,Yes,"YAM, THREE LEAVED"
16839,ANAMBRA,COM0017990,Yes,Yes,No,No,No,No,No,No,Yes,1%-25%,Increasing,51%-75%,2.0,3.0,0.0,Foot,No,No,No,No,Yes,Yes,CASSAVA
16840,ABIA,COM0025443,No,No,No,No,No,Yes,No,No,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
16841,ABIA,COM0026235,No,,,,,,,,Yes,51%-75%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,No,No,"YAM, THREE LEAVED"
16842,ENUGU,COM0005330,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Increasing,None (0%),,,,Car/Van,No,No,Yes,No,No,Yes,CASSAVA
16843,ANAMBRA,COM0022852,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16844,ANAMBRA,COM0023256,Yes,Yes,No,No,No,Yes,No,Yes,Yes,26%-50%,Increasing,1%-25%,2.0,3.0,0.0,Foot,No,No,Yes,Yes,Yes,No,"YAM, WHITE"
16845,EBONYI,COM0004188,No,,,,,,,,Yes,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
16846,ANAMBRA,COM0009801,Yes,No,No,No,No,Yes,No,Yes,Yes,1%-25%,Staying the same,1%-25%,0.0,0.0,0.0,Car/Van,No,No,Yes,Yes,No,Yes,"YAM, WHITE"
16847,EBONYI,COM0023663,Yes,No,No,No,No,No,No,No,No,None (0%),,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
16848,IMO,COM0000270,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,"YAM, WHITE"
16849,ABIA,COM0022801,Yes,Yes,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,None (0%),,,,Bicycle,No,No,Yes,No,No,No,"YAM, WHITE"
16850,IMO,COM0008290,Yes,No,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,CASSAVA
16851,IMO,COM0018542,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
16852,ANAMBRA,COM0018614,Yes,Yes,No,No,No,Yes,Yes,Yes,No,1%-25%,Increasing,26%-50%,0.0,2.0,1.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
16853,ABIA,COM0016882,Yes,Yes,No,No,No,Yes,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,CASSAVA
16854,EBONYI,COM0022846,Yes,Yes,No,No,No,Yes,No,No,Yes,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,No,Yes,Yes,CASSAVA
16855,ANAMBRA,COM0013031,Yes,No,No,No,No,Yes,No,No,Yes,1%-25%,Increasing,1%-25%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,No,No,No,No,"YAM, WHITE"
16856,ABIA,COM0000296,Yes,Yes,No,No,No,Yes,No,Yes,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,No,No,No,"YAM, THREE LEAVED"
16857,ABIA,COM0010415,Yes,Yes,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,No,No,No,CASSAVA
16858,ENUGU,COM0012377,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,,,,,
